entities,metric,unit,median_ms,note
1000000,swap_phase_undo,ms,1091.08,5/6 撤销 = 状态换出
1000000,swap_phase_redo,ms,967.71,6/6 重做 = 状态换入
1000000,update_bounds_bulk_10pct,ms,756.674,10 万图元确实移动后的索引 remove+insert
1000000,delete_single_xN,ms,6.1158,逐条删除，只测一次（测后场景少 N 个图元）
# run=swap-path-instrumented entities=1000000 at=2026-09-24 15:28:39
1000000,entity_alloc,ms,216.714,构造对象
1000000,scene_add,ms,1627.62,入场景 + 建索引
1000000,insert_addEntities,ms,34.2297,普通添加
1000000,insert_preserveId,ms,33.3747,批量保留 id
1000000,select_all,ms,14.9997,
1000000,selected_readback,ms,2.6744,
1000000,query_box_10pct,ms,6.5335,
1000000,query_box_1pct,ms,0.1031,
1000000,query_point_x1000,ms,0.9717,1000 次点拾取
1000000,snapshot_capture_10pct,ms,50.2179,captureEntitySnapshots（含克隆）
1000000,transform_apply_only,ms,24.3092,仅矩阵变换（无快照/索引/撤销）
1000000,transform_10pct,ms,1224.49,全链路，测后回滚
1000000,undo_redo_10pct,ms,1230.22,一次 undo + 一次 redo
1000000,transform_apply_10pct,ms,536.793,一次批量移动（不含撤销）
1000000,swap_phase_capture,ms,42.5737,1/6 捕获 before 快照（含克隆）
1000000,swap_phase_apply,ms,19.6824,2/6 矩阵变换
1000000,swap_phase_index_bulk,ms,451.887,3/6 索引批量更新
1000000,swap_phase_push,ms,10.8469,4/6 命令入栈（构造快照命令）
1000000,swap_phase_undo,ms,615.12,5/6 撤销 = 状态换出
1000000,swap_phase_redo,ms,605.343,6/6 重做 = 状态换入
1000000,update_bounds_bulk_10pct,ms,446.575,10 万图元确实移动后的索引 remove+insert
1000000,delete_single_xN,ms,2.8287,逐条删除，只测一次（测后场景少 N 个图元）
